a_x,a_y,a_z,g_x,g_y,g_z
0.211,1.592,0.086,38.33,6.652,-14.465
0.02,1.004,0.05,37.536,-168.823,-5.798
0.191,0.972,0.144,18.493,46.508,-45.837
0.203,-0.093,0.929,3.295,3.051,-1.77
0.201,-0.098,0.999,1.22,1.77,-0.183
0.192,-0.107,0.955,9.643,-9.216,-0.61
0.46,-0.153,0.955,-16.052,-2.624,15.319
-0.203,-0.104,0.956,3.54,32.226,-14.404
0.181,-0.117,1.024,7.324,22.766,5.371
0.012,-0.148,1.099,10.07,14.587,-5.981
0.275,-0.233,1.035,10.192,-1.159,-10.253
0.026,0.065,0.19,57.495,-1.586,10.925
-0.028,-0.038,1.104,-3.479,-10.986,-2.258
0.17,-0.011,0.938,11.535,-6.408,-8.361
0.141,-0.097,0.847,-18.371,12.268,-6.408
0.16,-0.186,1.061,-0.122,0.061,11.413
-0.007,-0.129,0.98,3.234,-30.273,-8.422
0.216,-0.046,0.943,-16.54,-1.464,-21.606
0.406,-0.12,0.953,1.159,-4.028,7.202
0.098,-0.037,1.021,2.868,8.239,5.92
0.192,-0.093,1.057,2.014,30.151,28.808
-0.102,-0.029,1.037,9.216,21.057,16.479
0.183,-0.01,0.997,-1.831,-8.728,4.272
0.096,0.993,0.028,-1.953,-3.906,0.793
0.102,0.958,0.019,2.868,1.892,5.249
0.109,0.916,0.007,-1.831,-60.729,-50.048
0.222,0.916,-0.414,66.833,-291.687,-136.474
0.02,0.228,0.133,-28.32,160.583,50.17
0.266,0.725,0.149,-255.065,-10.253,215.637
-0.109,0.687,-0.119,311.34,-503.967,-551.879
1.204,3.003,-0.239,232.238,136.962,223.083
0.403,1.979,0.048,-499.206,-488.647,362.121
0.15,0.617,-0.057,-91.979,-213.256,239.807
-0.649,0.213,0.289,237.365,408.691,-43.09
0.076,0.643,0.145,20.202,-178.466,-116.027
0.185,0.924,0.032,-58.227,-542.541,-128.54
0.398,1.26,-0.088,13.244,-128.845,-87.402
0.407,1.498,-0.012,189.819,265.38,-20.507
0.255,1.179,0.061,-45.959,-209.228,11.596
0.253,0.889,0.006,-112.426,-220.581,13.305
0.298,0.675,0.005,82.397,130.126,16.174
0.246,0.699,0.081,106.75,129.15,24.414
0.198,0.828,0.093,-1.586,-128.906,25.634
-0.055,-0.523,0.804,2.685,-6.225,-2.624
0.013,-0.582,0.787,-5.798,-11.657,-5.249
0.038,-0.534,-0.221,68.481,-89.477,-8.605
0.073,0.18,-0.691,558.898,54.138,-106.689
-0.292,1.949,2.64,400.756,-106.628,-57.434
0.435,1.098,0.224,199.34,-26.367,-6.469
-0.092,0.547,0.363,161.682,-14.404,-45.532
0.154,1.015,-0.137,-185.546,118.957,-60.729
0.002,0.886,0.467,-13.0,12.634,6.347
0.117,0.81,0.488,5.493,3.784,66.04
-0.146,0.637,0.859,-20.568,11.108,13.061
0.172,0.595,0.815,9.094,-2.319,2.441
0.015,0.759,0.652,27.099,-18.371,0.122
0.036,0.777,0.619,13.0,-1.953,-3.051
0.056,0.808,0.584,-2.38,-0.793,-2.99
0.025,0.767,0.586,-9.094,-1.647,1.525
0.015,0.791,0.623,0.915,0.671,-1.281
-0.002,0.797,0.632,-2.075,-5.432,1.098
0.018,0.765,0.627,-2.136,-2.502,-0.305
0.041,0.778,0.621,-1.708,1.464,-3.662
-0.046,-0.209,1.034,-7.019,1.586,2.624
-0.078,-0.221,0.97,-5.859,1.831,-2.563
-0.059,-0.209,0.961,0.549,1.037,-0.244
-0.063,-0.214,0.967,0.183,-0.732,0.732
-0.054,-0.213,0.988,-0.305,0.549,0.061
-0.062,-0.214,0.98,-1.647,-0.366,-2.014
-0.049,-0.215,0.986,-0.122,1.037,-0.488
-0.044,-0.219,0.969,1.098,0.366,0.488
-0.067,-0.21,0.991,1.098,-0.915,-0.183
-0.053,-0.212,0.987,1.037,-0.427,0.732
-0.069,-0.212,0.972,0.976,0.0,-1.464
-0.032,-0.203,1.003,-1.22,1.159,2.685
-0.072,-0.216,0.962,1.403,0.549,-0.549
-0.051,-0.203,0.981,3.051,2.868,-1.403
-0.067,-0.218,1.02,-1.403,-2.136,-0.854
-0.048,-0.198,0.969,0.122,-5.371,3.051
-0.075,-0.212,0.946,8.85,-1.159,-0.061
-0.079,-0.204,0.982,1.953,-0.244,-4.15
-0.036,-0.199,0.988,1.464,2.746,0.915
-0.058,-0.208,0.98,1.22,2.319,-0.671
0.777,-0.074,-0.592,-1.281,-4.455,-3.173
0.765,-0.077,-0.612,-2.563,-25.085,-6.53
0.746,-0.066,-0.928,23.62,-141.479,-15.563
0.334,-0.018,-1.097,150.329,236.083,-91.491
0.677,0.992,-1.331,929.077,56.274,-56.518
1.486,2.596,0.196,1102.172,-135.192,33.63
0.921,0.061,1.42,296.386,-383.911,-23.01
1.392,-0.013,0.136,30.09,85.449,-5.187
0.944,-0.145,0.095,7.812,20.812,-3.967
0.992,-0.149,0.09,-3.967,-4.333,-1.342
0.982,-0.101,0.149,-5.249,-4.333,-1.403
0.978,-0.144,0.073,1.77,3.784,0.183
0.984,-0.144,0.082,0.183,2.563,0.793
0.994,-0.135,0.095,-0.427,4.943,-0.305
0.985,-0.127,0.072,-1.159,-5.065,0.305
0.983,-0.135,0.081,-2.502,-34.79,2.441
0.974,-0.078,0.043,-1.464,-20.385,0.0
0.963,-0.146,0.013,3.845,-0.854,0.366
0.986,-0.132,0.053,1.159,5.187,0.061
0.97,-0.14,-0.001,0.061,-1.525,-2.868
0.287,0.97,0.0,-2.319,-5.126,-2.868
0.31,0.983,-0.008,-19.592,-6.164,-3.601
0.29,0.787,-0.056,-102.6,78.247,75.866
0.682,-0.384,-0.162,-166.442,82.153,39.611
-0.253,0.094,0.109,-162.658,-1088.317,-177.856
0.312,0.8,0.203,-137.939,-402.099,81.481
0.156,0.757,-0.127,294.86,-770.08,-612.304
0.571,3.008,0.099,137.756,1436.706,-86.669
0.635,2.083,0.018,-510.925,-423.645,271.118
0.223,0.898,-0.137,229.736,548.706,-105.59
0.123,0.501,0.266,-128.479,-67.687,141.784
0.019,0.249,0.078,-130.126,-288.757,-116.027
0.135,0.409,0.141,47.79,-155.7,-83.007
0.259,0.658,0.091,41.015,88.867,-77.575
0.252,1.19,0.068,221.252,203.674,-126.403
0.338,1.773,-0.041,-16.052,-135.498,-23.925
0.368,1.533,-0.008,-150.634,-111.389,67.993
0.252,0.936,0.043,-87.829,-6.958,24.963
0.199,0.585,0.074,-45.654,-9.521,11.596
0.173,0.479,0.085,28.747,-12.329,-25.573
0.07,0.997,-0.106,0.488,-1.098,-1.037
0.058,0.978,-0.097,-1.403,0.183,1.464
0.073,0.973,-0.1,1.159,-20.996,-2.38
